src_id;dest_employee id;src_full name;dest_full name;src_mail address;dest_email;src_supervisor id;dest_supervisor email;src_credit card;dest_visacard;src_date of birth;dest_birthdate;src_phone;dest_phonenumber;src_status;dest_employee status;src_marital status;dest_matrimony;src_city;dest_city of birth;matching_source
6085733;6085733;anthony parks;anthony parks;anthony.parks@gmail.com;anthony.parks@gmail.com;donna.buchanan@gmail.com;donna.buchanan@gmail.com;4195 6707 8505 7032;4195 6707 8505 7032;1928-02-16;1928-02-16;7352737141;7352737141;active;active;m;m;danielborough;danielborough;email_match
1612247;1612247;darryl hudson;darryl hudson;darryl.hudson@gmail.com;darryl.hudson@gmail.com;dennis.russell@gmail.com;dennis.russell@gmail.com;4929 9119 5287 7916;4929 9119 5287 7916;1951-02-02;1951-02-02;4304142577;4304142577;active;active;other;other;andrewstad;andrewstad;email_match
6433171;6433171;leslie davidson;leslie davidson;leslie.davidson@gmail.com;leslie.davidson@gmail.com;samuel.hernandez@gmail.com;samuel.hernandez@hotmail.fr;4559 5770 6108 1992;4559 5770 6108 1992;1932-07-06;1932-07-06;2204537216;2204537216;active;active;other;other;diazstad;diazstad;email_match
6638401;6638401;mercedes weaver;mercedes weaver;mercedes.weaver@gmail.com;mercedes.weaver@gmail.com;richard.jordan@gmail.com;richard.jordan@gmail.com;4176 6267 2360 8511;4176 6267 2360 8511;1988-08-05;1988-08-05;3806591071;3806591071;active;active;other;other;south randyside;south randyside;email_match
3516862;3516862;shaun brooks;shaun brooks;shaun.brooks@gmail.com;shaun.brooks@gmail.com;travis.davis@gmail.com;travis.davis@gmail.com;4246 6729 1008 9384;4181 8825 7711 8122;2020-02-23;2020-02-23;2877082141;2877082141;terminated;terminated;m;m;angelicaborough;angelicaborough;email_match
3742013;3742013;richard jordan;richard jordan;richard.jordan@gmail.com;richard.jordan@gmail.com;james.young@gmail.com;james.young@gmail.com;4339 7882 1048 0640;4339 7882 1048 0640;2000-08-28;2000-08-28;4769615914;4769615914;terminated;terminated;m;m;south danielfort;south danielfort;email_match
8045306;8045306;james boyd;james boyd;james.boyd@gmail.com;james.boyd@gmail.com;mercedes.weaver@gmail.com;mercedes.weaver@gmail.com;4783 8852 7692 2530;4783 8852 7692 2530;1931-09-09;1931-09-09;8308051008;8308051008;terminated;terminated;s;s;east danny;east danny;email_match
5859599;5859599;jim beasley;jim beasley;jim.beasley@gmail.com;jim.beasley@gmail.com;catherine.evans@gmail.com;catherine.evans@gmail.com;4900 8958 8565 1683;4900 8958 8565 1683;1961-01-23;1961-01-23;5345260515;5345260515;active;active;s;s;port jeffreyburgh;port jeffreyburgh;email_match
1985084;1985084;catherine evans;catherine evans;catherine.evans@gmail.com;catherine.evans@gmail.com;donna.johnson@gmail.com;donna.johnson@gmail.com;4604 4472 8293 0333;4604 4472 8293 0333;1927-10-26;1927-10-26;3145973420;3145973420;active;active;other;other;harrischester;harrischester;email_match
2999920;1226141;william jackson;william jackson;william.jackson@gmail.com;william.jackson@gmail.com;stacey.williams@gmail.com;stacey.williams@gmail.com;4418 0503 8603 5284;4418 0503 8603 5284;1934-07-11;1934-07-11;4283336885;4283336885;terminated;terminated;s;s;josefort;josefort;email_match
5516985;5516985;dennis russell;dennis russell;dennis.russell@gmail.com;dennis.russell@gmail.com;hannah.richards@gmail.com;hannah.richards@gmail.com;4477 3435 1430 5986;4477 3435 1430 5986;1990-04-18;1990-04-18;4594110482;4594110482;active;active;s;s;east rachelville;east rachelville;email_match
